anchor_type	anchor_id	anchor_key_slp1	target_locus	link_type	source_dataset	match_method	confidence	evidence_count	date
root	root:kfS	kfS	commentary:sundara-lexical:V.1.1	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:DA	DA	commentary:sundara-lexical:V.1.5	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:plu	plu	commentary:sundara-lexical:V.1.9	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:cal	cal	commentary:sundara-lexical:V.1.12	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:aYj	aYj	commentary:sundara-lexical:V.1.15	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:dyut	dyut	commentary:sundara-lexical:V.1.53	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:dyut	dyut	commentary:sundara-lexical:V.1.58	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:Df	Df	commentary:sundara-lexical:V.1.201	commentary-citation	CommentaryStrategies/data/lexical/ch1.json	exact	0.95	1	26-08-2026
root	root:yuj	yuj	commentary:sundara-lexical:V.2.3	commentary-citation	CommentaryStrategies/data/lexical/ch2.json	exact	0.95	1	26-08-2026
root	root:kf	kf	commentary:sundara-lexical:V.2.16	commentary-citation	CommentaryStrategies/data/lexical/ch2.json	exact	0.95	1	26-08-2026
root	root:ji	ji	commentary:sundara-lexical:V.6.21	commentary-citation	CommentaryStrategies/data/lexical/ch6.json	exact	0.95	1	26-08-2026
root	root:su	su	commentary:sundara-lexical:V.6.42	commentary-citation	CommentaryStrategies/data/lexical/ch6.json	exact	0.95	1	26-08-2026
root	root:lakz	lakz	commentary:sundara-lexical:V.7.14	commentary-citation	CommentaryStrategies/data/lexical/ch7.json	exact	0.95	1	26-08-2026
root	root:yuj	yuj	commentary:sundara-lexical:V.9.2	commentary-citation	CommentaryStrategies/data/lexical/ch9.json	exact	0.95	1	26-08-2026
root	root:DU	DU	commentary:sundara-lexical:V.9.27	commentary-citation	CommentaryStrategies/data/lexical/ch9.json	exact	0.95	1	26-08-2026
root	root:siD	siD	commentary:sundara-lexical:V.9.30	commentary-citation	CommentaryStrategies/data/lexical/ch9.json	exact	0.95	1	26-08-2026
root	root:su	su	commentary:sundara-lexical:V.9.56	commentary-citation	CommentaryStrategies/data/lexical/ch9.json	exact	0.95	1	26-08-2026
root	root:gA	gA	commentary:sundara-lexical:V.9.68	commentary-citation	CommentaryStrategies/data/lexical/ch9.json	exact	0.95	1	26-08-2026
root	root:f	f	commentary:sundara-lexical:V.9.73	commentary-citation	CommentaryStrategies/data/lexical/ch9.json	exact	0.95	1	26-08-2026
root	root:aj	aj	commentary:sundara-lexical:V.10.5	commentary-citation	CommentaryStrategies/data/lexical/ch10.json	exact	0.95	1	26-08-2026
root	root:sru	sru	commentary:sundara-lexical:V.10.14	commentary-citation	CommentaryStrategies/data/lexical/ch10.json	exact	0.95	1	26-08-2026
root	root:yaj	yaj	commentary:sundara-lexical:V.10.20	commentary-citation	CommentaryStrategies/data/lexical/ch10.json	exact	0.95	1	26-08-2026
root	root:tap	tap	commentary:sundara-lexical:V.11.4	commentary-citation	CommentaryStrategies/data/lexical/ch11.json	exact	0.95	1	26-08-2026
root	root:as	as	commentary:sundara-lexical:V.12.3	commentary-citation	CommentaryStrategies/data/lexical/ch12.json	exact	0.95	1	26-08-2026
root	root:vad	vad	commentary:sundara-lexical:V.12.10	commentary-citation	CommentaryStrategies/data/lexical/ch12.json	exact	0.95	1	26-08-2026
root	root:vid	vid	commentary:sundara-lexical:V.12.10	commentary-citation	CommentaryStrategies/data/lexical/ch12.json	exact	0.95	1	26-08-2026
root	root:ci	ci	commentary:sundara-lexical:V.12.15	commentary-citation	CommentaryStrategies/data/lexical/ch12.json	exact	0.95	1	26-08-2026
root	root:Suc	Suc	commentary:sundara-lexical:V.12.25	commentary-citation	CommentaryStrategies/data/lexical/ch12.json	exact	0.95	1	26-08-2026
root	root:cit	cit	commentary:sundara-lexical:V.12.25	commentary-citation	CommentaryStrategies/data/lexical/ch12.json	exact	0.95	1	26-08-2026
root	root:kf	kf	commentary:sundara-lexical:V.13.1	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:pat	pat	commentary:sundara-lexical:V.13.5	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:vA	vA	commentary:sundara-lexical:V.13.7	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:siD	siD	commentary:sundara-lexical:V.13.8	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:jYA	jYA	commentary:sundara-lexical:V.13.28	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:kf	kf	commentary:sundara-lexical:V.13.28	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:ru	ru	commentary:sundara-lexical:V.13.29	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:tF	tF	commentary:sundara-lexical:V.13.30	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:sTA	sTA	commentary:sundara-lexical:V.13.40	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:vas	vas	commentary:sundara-lexical:V.13.56	commentary-citation	CommentaryStrategies/data/lexical/ch13.json	exact	0.95	1	26-08-2026
root	root:hfz	hfz	commentary:sundara-lexical:V.14.2	commentary-citation	CommentaryStrategies/data/lexical/ch14.json	exact	0.95	1	26-08-2026
root	root:Suc	Suc	commentary:sundara-lexical:V.14.3	commentary-citation	CommentaryStrategies/data/lexical/ch14.json	exact	0.95	1	26-08-2026
root	root:ac	ac	commentary:sundara-lexical:V.14.4	commentary-citation	CommentaryStrategies/data/lexical/ch14.json	exact	0.95	1	26-08-2026
root	root:DA	DA	commentary:sundara-lexical:V.14.49	commentary-citation	CommentaryStrategies/data/lexical/ch14.json	exact	0.95	1	26-08-2026
root	root:lI	lI	commentary:sundara-lexical:V.14.52	commentary-citation	CommentaryStrategies/data/lexical/ch14.json	exact	0.95	2	26-08-2026
root	root:ci	ci	commentary:sundara-lexical:V.15.16	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:sad	sad	commentary:sundara-lexical:V.15.16	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:vas	vas	commentary:sundara-lexical:V.15.19	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:ruh	ruh	commentary:sundara-lexical:V.15.22	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:Bf	Bf	commentary:sundara-lexical:V.15.41	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:kf	kf	commentary:sundara-lexical:V.15.49	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:sTA	sTA	commentary:sundara-lexical:V.15.52	commentary-citation	CommentaryStrategies/data/lexical/ch15.json	exact	0.95	1	26-08-2026
root	root:so	so	commentary:sundara-lexical:V.16.4	commentary-citation	CommentaryStrategies/data/lexical/ch16.json	exact	0.95	1	26-08-2026
root	root:kal	kal	commentary:sundara-lexical:V.16.14	commentary-citation	CommentaryStrategies/data/lexical/ch16.json	exact	0.95	1	26-08-2026
root	root:Bf	Bf	commentary:sundara-lexical:V.16.19	commentary-citation	CommentaryStrategies/data/lexical/ch16.json	exact	0.95	1	26-08-2026
root	root:pA	pA	commentary:sundara-lexical:V.16.22	commentary-citation	CommentaryStrategies/data/lexical/ch16.json	exact	0.95	1	26-08-2026
root	root:BUz	BUz	commentary:sundara-lexical:V.16.26	commentary-citation	CommentaryStrategies/data/lexical/ch16.json	exact	0.95	1	26-08-2026
root	root:hfz	hfz	commentary:sundara-lexical:V.17.17	commentary-citation	CommentaryStrategies/data/lexical/ch17.json	exact	0.95	1	26-08-2026
root	root:Bf	Bf	commentary:sundara-lexical:V.17.21	commentary-citation	CommentaryStrategies/data/lexical/ch17.json	exact	0.95	1	26-08-2026
